STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
722;2023052815;10;5.3;40;eor
722;2023052816;10;5.6;40;eor
722;2023052817;10;4.7;40;eor
722;2023052818;10;5.8;20;eor
722;2023052819;10;6.5;20;eor
722;2023052820;10;7.6;10;eor
722;2023052821;10;8.4;30;eor
722;2023052822;10;8.3;40;eor
722;2023052823;10;8.3;60;eor
722;2023052900;10;7.0;70;eor
722;2023052901;10;6.1;80;eor
722;2023052902;10;6.2;60;eor
722;2023052903;10;6.0;50;eor
722;2023052904;10;6.2;50;eor
722;2023052905;10;6.3;60;eor
722;2023052906;10;5.6;60;eor
722;2023052907;10;4.2;60;eor
722;2023052908;10;3.9;60;eor
722;2023052909;10;4.5;50;eor
722;2023052910;10;4.7;30;eor
722;2023052911;10;5.5;20;eor
722;2023052912;10;6.2;20;eor
722;2023052913;10;6.4;10;eor
722;2023052914;10;6.3;10;eor
722;2023052915;10;6.2;360;eor
722;2023052916;10;6.4;350;eor
722;2023052917;10;7.2;350;eor
722;2023052918;10;8.5;360;eor
722;2023052919;10;8.3;360;eor
722;2023052920;10;9.0;10;eor
722;2023052921;10;9.3;20;eor
722;2023052922;10;9.4;20;eor
722;2023052923;10;11.1;360;eor
722;2023053000;10;10.6;360;eor
722;2023053001;10;8.4;20;eor
722;2023053002;10;9.5;40;eor
722;2023053003;10;8.6;40;eor
722;2023053004;10;7.7;40;eor
722;2023053005;10;6.8;30;eor
722;2023053006;10;5.8;30;eor
722;2023053007;10;4.4;30;eor
722;2023053008;10;4.0;10;eor
722;2023053009;10;5.0;10;eor
722;2023053010;10;4.1;10;eor
722;2023053011;10;4.4;10;eor
722;2023053012;10;5.1;10;eor
722;2023053013;10;5.7;20;eor
722;2023053014;10;6.8;20;eor
722;2023053015;10;7.8;30;eor
722;2023053016;10;7.7;20;eor
722;2023053017;10;8.0;30;eor
722;2023053018;10;8.3;30;eor
722;2023053019;10;8.1;30;eor
722;2023053020;10;9.3;30;eor
722;2023053021;10;9.4;30;eor
722;2023053022;10;9.0;40;eor
722;2023053023;10;10.1;50;eor
722;2023053100;10;9.2;70;eor
722;2023053101;10;8.2;90;eor
722;2023053102;10;7.3;90;eor
722;2023053103;10;6.7;100;eor
722;2023053104;10;6.7;100;eor
722;2023053105;10;5.9;90;eor
722;2023053106;10;5.3;80;eor
722;2023053107;10;5.5;90;eor
722;2023053108;10;4.9;90;eor
722;2023053109;10;5.0;70;eor
722;2023053110;10;4.7;50;eor
722;2023053111;10;5.1;30;eor
722;2023053112;10;4.7;30;eor
722;2023053113;10;4.8;30;eor
722;2023053114;10;5.5;30;eor
722;2023053115;10;6.5;30;eor
722;2023053116;10;6.1;30;eor
722;2023053117;10;5.3;20;eor
722;2023053118;10;5.1;10;eor
722;2023053119;10;6.1;360;eor
722;2023053120;10;6.5;360;eor
722;2023053121;10;6.4;350;eor
722;2023053122;10;7.7;350;eor
722;2023053123;10;6.4;340;eor
722;2023060100;10;4.3;330;eor
722;2023060101;10;4.8;300;eor
722;2023060102;10;5.5;290;eor
722;2023060103;10;7.4;290;eor
722;2023060104;10;8.6;290;eor
722;2023060105;10;8.6;290;eor
722;2023060106;10;7.8;300;eor
722;2023060107;10;7.4;300;eor
722;2023060108;10;6.2;310;eor
722;2023060109;10;5.5;310;eor
722;2023060110;10;5.5;300;eor
722;2023060111;10;5.4;300;eor
722;2023060112;10;6.3;300;eor
722;2023060113;10;6.4;290;eor
722;2023060114;10;6.6;290;eor
722;2023060115;10;6.6;300;eor
722;2023060116;10;6.6;300;eor
722;2023060117;10;7.0;300;eor
722;2023060118;10;7.9;300;eor
722;2023060119;10;9.3;310;eor
722;2023060120;10;10.1;310;eor
722;2023060121;10;9.9;320;eor
722;2023060122;10;9.7;320;eor
722;2023060123;10;9.5;320;eor
722;2023060200;10;7.2;330;eor
722;2023060201;10;6.9;330;eor
722;2023060202;10;6.7;350;eor
722;2023060203;10;6.3;360;eor
722;2023060204;10;6.0;10;eor
722;2023060205;10;5.5;20;eor
722;2023060206;10;8.4;40;eor
722;2023060207;10;8.7;50;eor
722;2023060208;10;6.9;50;eor
722;2023060209;10;4.7;40;eor
722;2023060210;10;5.1;40;eor
722;2023060211;10;5.8;30;eor
722;2023060212;10;6.7;30;eor
722;2023060213;10;6.8;30;eor
722;2023060214;10;7.2;50;eor
722;2023060215;10;6.8;40;eor
722;2023060216;10;6.3;50;eor
722;2023060217;10;7.7;50;eor
722;2023060218;10;8.4;50;eor
722;2023060219;10;8.8;50;eor
722;2023060220;10;10.5;50;eor
722;2023060221;10;11.7;70;eor
722;2023060222;10;10.9;80;eor
722;2023060223;10;11.1;80;eor
722;2023060300;10;11.1;90;eor
722;2023060301;10;10.5;100;eor
722;2023060302;10;9.7;100;eor
722;2023060303;10;9.1;100;eor
722;2023060304;10;9.0;100;eor
722;2023060305;10;9.7;90;eor
722;2023060306;10;8.7;80;eor
722;2023060307;10;7.7;80;eor
722;2023060308;10;6.9;70;eor
722;2023060309;10;6.8;80;eor
722;2023060310;10;5.8;90;eor
722;2023060311;10;5.3;80;eor
722;2023060312;10;5.3;70;eor
722;2023060313;10;5.5;70;eor
722;2023060314;10;5.3;50;eor
722;2023060315;10;5.6;50;eor
722;2023060316;10;5.7;50;eor
722;2023060317;10;5.9;40;eor
722;2023060318;10;5.4;40;eor
722;2023060319;10;5.5;40;eor
722;2023060320;10;5.8;40;eor
722;2023060321;10;6.6;50;eor
722;2023060322;10;7.1;70;eor
722;2023060323;10;7.3;80;eor
722;2023060400;10;7.1;90;eor
722;2023060401;10;5.7;100;eor
722;2023060402;10;4.9;120;eor
722;2023060403;10;4.8;120;eor
722;2023060404;10;3.9;110;eor
722;2023060405;10;3.4;100;eor
722;2023060406;10;4.5;90;eor
722;2023060407;10;5.6;80;eor
722;2023060408;10;6.0;80;eor
722;2023060409;10;5.4;90;eor
722;2023060410;10;4.6;90;eor
722;2023060411;10;5.0;80;eor
722;2023060412;10;4.6;80;eor
722;2023060413;10;4.4;60;eor
722;2023060414;10;5.2;60;eor
722;2023060415;10;5.7;70;eor
722;2023060416;10;5.5;60;eor
722;2023060417;10;5.6;60;eor
722;2023060418;10;5.9;50;eor
722;2023060419;10;6.1;60;eor
722;2023060420;10;5.8;70;eor
722;2023060421;10;5.8;70;eor
722;2023060422;10;6.1;60;eor
722;2023060423;10;5.9;70;eor
722;2023060500;10;6.4;100;eor
